episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
417,0,0.98,-1.02,0.1237,0.1237
418,1,-1.013,0.987,0.123,0.123
419,0,0.988,-1.012,0.1224,0.1224
420,0,0.982,-1.018,0.1218,0.1218
421,0,0.976,-1.024,0.1212,0.1212
422,1,-1.019,0.981,0.1206,0.1206
423,0,0.982,-1.018,0.12,0.12
424,0,0.976,-1.024,0.1194,0.1194
425,1,-1.009,0.991,0.1188,0.1188
426,1,-1.021,0.979,0.1182,0.1182
427,1,-1.009,0.991,0.1176,0.1176
428,1,-1.021,0.979,0.117,0.117
429,0,0.988,-1.012,0.1164,0.1164
430,1,-1.027,0.973,0.1159,0.1159
431,1,-1.007,0.993,0.1153,0.1153
432,1,-1.011,0.989,0.1147,0.1147
433,1,-1.015,0.985,0.1141,0.1141
434,1,-1.019,0.981,0.1136,0.1136
435,1,-1.011,0.989,0.113,0.113
436,1,-1.011,0.989,0.1124,0.1124
437,1,-1.011,0.989,0.1119,0.1119
438,0,0.98,-1.02,0.1113,0.1113
439,0,0.98,-1.02,0.1107,0.1107
440,1,-1.015,0.985,0.1102,0.1102
441,0,0.982,-1.018,0.1096,0.1096
442,1,-1.015,0.985,0.1091,0.1091
443,1,-1.011,0.989,0.1085,0.1085
444,1,-1.009,0.991,0.108,0.108
445,1,-1.003,0.997,0.1075,0.1075
446,1,-1.015,0.985,0.1069,0.1069
447,0,0.988,-1.012,0.1064,0.1064
448,0,0.982,-1.018,0.1059,0.1059
449,0,0.98,-1.02,0.1053,0.1053
450,1,-1.017,0.983,0.1048,0.1048
451,0,0.976,-1.024,0.1043,0.1043
452,0,0.976,-1.024,0.1038,0.1038
453,1,-1.013,0.987,0.1032,0.1032
454,1,-1.021,0.979,0.1027,0.1027
455,0,0.984,-1.016,0.1022,0.1022
456,0,0.988,-1.012,0.1017,0.1017
457,0,0.98,-1.02,0.1012,0.1012
458,1,-1.019,0.981,0.1007,0.1007
459,0,0.986,-1.014,0.1002,0.1002
460,1,-1.003,0.997,0.0997,0.0997
461,0,0.976,-1.024,0.0992,0.0992
462,1,-1.005,0.995,0.0987,0.0987
463,1,-1.015,0.985,0.0982,0.0982
464,0,0.982,-1.018,0.0977,0.0977
465,1,-1.015,0.985,0.0972,0.0972
466,0,0.988,-1.012,0.0967,0.0967
467,1,-1.015,0.985,0.0962,0.0962
468,0,0.988,-1.012,0.0958,0.0958
469,0,0.988,-1.012,0.0953,0.0953
470,0,0.984,-1.016,0.0948,0.0948
471,0,0.98,-1.02,0.0943,0.0943
472,0,0.988,-1.012,0.0939,0.0939
473,1,-1.015,0.985,0.0934,0.0934
474,0,0.99,-1.01,0.0929,0.0929
475,0,0.99,-1.01,0.0925,0.0925
476,1,-1.019,0.981,0.092,0.092
477,0,0.982,-1.018,0.0915,0.0915
478,0,0.984,-1.016,0.0911,0.0911
479,0,0.988,-1.012,0.0906,0.0906
480,1,-1.023,0.977,0.0902,0.0902
481,0,0.986,-1.014,0.0897,0.0897
482,0,0.984,-1.016,0.0893,0.0893
483,0,0.99,-1.01,0.0888,0.0888
484,1,-1.021,0.979,0.0884,0.0884
485,0,0.982,-1.018,0.0879,0.0879
486,1,-1.019,0.981,0.0875,0.0875
487,1,-1.009,0.991,0.0871,0.0871
488,1,-1.003,0.997,0.0866,0.0866
489,1,-1.003,0.997,0.0862,0.0862
490,1,-1.007,0.993,0.0858,0.0858
491,1,-1.003,0.997,0.0853,0.0853
492,0,0.986,-1.014,0.0849,0.0849
493,0,0.978,-1.022,0.0845,0.0845
494,1,-1.009,0.991,0.0841,0.0841
495,1,-1.003,0.997,0.0836,0.0836
496,1,-1.003,0.997,0.0832,0.0832
497,1,-1.011,0.989,0.0828,0.0828
498,1,-1.013,0.987,0.0824,0.0824
499,0,0.984,-1.016,0.082,0.082
500,0,0.976,-1.024,0.0816,0.0816
501,0,0.98,-1.02,0.0812,0.0812
502,1,-1.013,0.987,0.0808,0.0808
503,0,0.988,-1.012,0.0804,0.0804
504,1,-1.015,0.985,0.08,0.08
505,1,-1.015,0.985,0.0796,0.0796
506,0,0.982,-1.018,0.0792,0.0792
507,1,-1.015,0.985,0.0788,0.0788
508,0,0.98,-1.02,0.0784,0.0784
509,1,-1.015,0.985,0.078,0.078
510,1,-1.015,0.985,0.0776,0.0776
511,0,0.98,-1.02,0.0772,0.0772
512,1,-1.005,0.995,0.0768,0.0768
513,1,-1.013,0.987,0.0764,0.0764
514,1,-1.013,0.987,0.076,0.076
515,1,-1.017,0.983,0.0757,0.0757
516,1,-1.009,0.991,0.0753,0.0753
517,1,-1.019,0.981,0.0749,0.0749
518,1,-1.017,0.983,0.0745,0.0745
519,0,0.992,-1.008,0.0742,0.0742
520,1,-1.025,0.975,0.0738,0.0738
521,1,-1.009,0.991,0.0734,0.0734
