episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
374,1,-0.016,0.985,0.153402,0.153402
375,1,-0.014,0.987,0.152635,0.152635
376,1,-0.017,0.984,0.151872,0.151872
377,0,0.988,-0.012,0.151113,0.151113
378,1,-0.009,0.992,0.150357,0.150357
379,1,-0.013,0.988,0.149606,0.149606
380,1,-0.015,0.986,0.148857,0.148857
381,1,-0.009,0.992,0.148113,0.148113
382,1,-0.014,0.987,0.147373,0.147373
383,1,-0.01,0.991,0.146636,0.146636
384,0,0.986,-0.014,0.145903,0.145903
385,0,0.986,-0.014,0.145173,0.145173
386,0,0.993,-0.007,0.144447,0.144447
387,1,-0.012,0.989,0.143725,0.143725
388,0,0.988,-0.012,0.143006,0.143006
389,1,-0.012,0.989,0.142291,0.142291
390,1,-0.013,0.988,0.14158,0.14158
391,1,-0.013,0.988,0.140872,0.140872
392,0,0.984,-0.016,0.140168,0.140168
393,0,0.988,-0.012,0.139467,0.139467
394,1,-0.014,0.987,0.138769,0.138769
395,1,-0.014,0.987,0.138076,0.138076
396,1,-0.017,0.984,0.137385,0.137385
397,1,-0.016,0.985,0.136698,0.136698
398,0,0.985,-0.015,0.136015,0.136015
399,1,-0.015,0.986,0.135335,0.135335
400,0,0.99,-0.01,0.134658,0.134658
401,0,0.988,-0.012,0.133985,0.133985
402,0,0.991,-0.009,0.133315,0.133315
403,1,-0.012,0.989,0.132648,0.132648
404,0,0.989,-0.011,0.131985,0.131985
405,1,-0.009,0.992,0.131325,0.131325
406,1,-0.014,0.987,0.130668,0.130668
407,0,0.984,-0.016,0.130015,0.130015
408,1,-0.01,0.991,0.129365,0.129365
409,1,-0.015,0.986,0.128718,0.128718
410,1,-0.006,0.995,0.128075,0.128075
411,1,-0.009,0.992,0.127434,0.127434
412,0,0.986,-0.014,0.126797,0.126797
413,1,-0.007,0.994,0.126163,0.126163
414,0,0.99,-0.01,0.125532,0.125532
415,1,-0.012,0.989,0.124905,0.124905
416,1,-0.016,0.985,0.12428,0.12428
417,0,0.989,-0.011,0.123659,0.123659
418,1,-0.014,0.987,0.12304,0.12304
419,0,0.999,-0.001,0.122425,0.122425
420,0,0.999,-0.001,0.121813,0.121813
421,1,-0.013,0.988,0.121204,0.121204
422,1,-0.016,0.985,0.120598,0.120598
423,1,-0.013,0.988,0.119995,0.119995
424,1,-0.013,0.988,0.119395,0.119395
425,0,0.987,-0.013,0.118798,0.118798
426,1,-0.017,0.984,0.118204,0.118204
427,1,-0.017,0.984,0.117613,0.117613
428,1,-0.017,0.984,0.117025,0.117025
429,0,0.984,-0.016,0.11644,0.11644
430,1,-0.014,0.987,0.115858,0.115858
431,1,-0.014,0.987,0.115278,0.115278
432,1,-0.014,0.987,0.114702,0.114702
433,1,-0.017,0.984,0.114128,0.114128
434,1,-0.013,0.988,0.113558,0.113558
435,1,-0.012,0.989,0.11299,0.11299
436,1,-0.008,0.993,0.112425,0.112425
437,0,0.984,-0.016,0.111863,0.111863
438,1,-0.013,0.988,0.111304,0.111304
439,1,-0.015,0.986,0.110747,0.110747
440,1,-0.011,0.99,0.110193,0.110193
441,0,0.988,-0.012,0.109642,0.109642
442,1,-0.014,0.987,0.109094,0.109094
443,1,-0.017,0.984,0.108549,0.108549
444,0,0.989,-0.011,0.108006,0.108006
445,0,0.988,-0.012,0.107466,0.107466
446,1,-0.013,0.988,0.106929,0.106929
447,1,-0.007,0.994,0.106394,0.106394
448,1,-0.016,0.985,0.105862,0.105862
449,1,-0.012,0.989,0.105333,0.105333
450,0,0.984,-0.016,0.104806,0.104806
451,1,-0.014,0.987,0.104282,0.104282
452,1,-0.011,0.99,0.103761,0.103761
453,1,-0.017,0.984,0.103242,0.103242
454,0,0.988,-0.012,0.102726,0.102726
455,0,0.99,-0.01,0.102212,0.102212
456,1,-0.017,0.984,0.101701,0.101701
457,1,-0.017,0.984,0.101192,0.101192
458,0,0.984,-0.016,0.100686,0.100686
459,0,0.989,-0.011,0.100183,0.100183
460,0,0.99,-0.01,0.099682,0.099682
461,1,-0.015,0.986,0.099184,0.099184
462,1,-0.011,0.99,0.098688,0.098688
463,0,0.989,-0.011,0.098194,0.098194
464,1,-0.01,0.991,0.097703,0.097703
465,1,-0.017,0.984,0.097215,0.097215
466,1,-0.016,0.985,0.096729,0.096729
467,0,0.988,-0.012,0.096245,0.096245
468,0,0.984,-0.016,0.095764,0.095764
469,1,-0.016,0.985,0.095285,0.095285
470,1,-0.013,0.988,0.094809,0.094809
471,0,0.987,-0.013,0.094335,0.094335
472,1,-0.011,0.99,0.093863,0.093863
473,1,-0.011,0.99,0.093394,0.093394
474,0,0.985,-0.015,0.092927,0.092927
475,1,-0.015,0.986,0.092462,0.092462
476,0,0.988,-0.012,0.092,0.092
477,0,0.992,-0.008,0.09154,0.09154
478,1,-0.013,0.988,0.091082,0.091082
479,0,0.995,-0.005,0.090627,0.090627
480,1,-0.016,0.985,0.090173,0.090173
481,1,-0.016,0.985,0.089723,0.089723
482,1,-0.015,0.986,0.089274,0.089274
483,1,-0.011,0.99,0.088828,0.088828
484,1,-0.016,0.985,0.088383,0.088383
485,0,0.988,-0.012,0.087942,0.087942
486,1,-0.008,0.993,0.087502,0.087502
487,1,-0.016,0.985,0.087064,0.087064
488,1,-0.015,0.986,0.086629,0.086629
489,1,-0.013,0.988,0.086196,0.086196
490,0,0.986,-0.014,0.085765,0.085765
491,0,0.986,-0.014,0.085336,0.085336
492,0,0.99,-0.01,0.084909,0.084909
493,1,-0.013,0.988,0.084485,0.084485
494,1,-0.012,0.989,0.084062,0.084062
495,1,-0.012,0.989,0.083642,0.083642
496,0,0.99,-0.01,0.083224,0.083224
497,0,0.984,-0.016,0.082808,0.082808
498,1,-0.017,0.984,0.082394,0.082394
499,1,-0.017,0.984,0.081982,0.081982
500,0,0.984,-0.016,0.081572,0.081572
501,1,-0.013,0.988,0.081164,0.081164
502,0,0.985,-0.015,0.080758,0.080758
503,1,-0.011,0.99,0.080354,0.080354
504,1,-0.008,0.993,0.079953,0.079953
505,0,0.984,-0.016,0.079553,0.079553
506,1,-0.017,0.984,0.079155,0.079155
507,1,-0.017,0.984,0.078759,0.078759
508,0,0.985,-0.015,0.078366,0.078366
509,1,-0.013,0.988,0.077974,0.077974
510,1,-0.014,0.987,0.077584,0.077584
511,0,0.99,-0.01,0.077196,0.077196
512,0,0.986,-0.014,0.07681,0.07681
513,1,-0.013,0.988,0.076426,0.076426
514,0,0.989,-0.011,0.076044,0.076044
515,1,-0.017,0.984,0.075664,0.075664
516,1,-0.01,0.991,0.075285,0.075285
517,1,-0.015,0.986,0.074909,0.074909
518,0,0.995,-0.005,0.074534,0.074534
519,0,0.986,-0.014,0.074162,0.074162
520,0,0.99,-0.01,0.073791,0.073791
521,1,-0.005,0.996,0.073422,0.073422
522,1,-0.017,0.984,0.073055,0.073055
523,1,-0.006,0.995,0.072689,0.072689
524,0,0.989,-0.011,0.072326,0.072326
525,1,-0.004,0.997,0.071964,0.071964
526,0,0.987,-0.013,0.071605,0.071605
527,1,-0.017,0.984,0.071247,0.071247
528,1,-0.011,0.99,0.07089,0.07089
529,1,-0.017,0.984,0.070536,0.070536
530,1,-0.01,0.991,0.070183,0.070183
531,1,-0.013,0.988,0.069832,0.069832
532,1,-0.017,0.984,0.069483,0.069483
533,0,0.988,-0.012,0.069136,0.069136
534,0,0.991,-0.009,0.06879,0.06879
535,0,0.985,-0.015,0.068446,0.068446
536,0,0.984,-0.016,0.068104,0.068104
537,1,-0.01,0.991,0.067763,0.067763
538,0,0.984,-0.016,0.067424,0.067424
539,1,-0.017,0.984,0.067087,0.067087
540,1,-0.016,0.985,0.066752,0.066752
541,1,-0.014,0.987,0.066418,0.066418
542,1,-0.016,0.985,0.066086,0.066086
543,0,0.985,-0.015,0.065756,0.065756
544,1,-0.015,0.986,0.065427,0.065427
545,1,-0.014,0.987,0.0651,0.0651
546,1,-0.017,0.984,0.064774,0.064774
547,1,-0.016,0.985,0.06445,0.06445
548,1,-0.016,0.985,0.064128,0.064128
549,0,0.984,-0.016,0.063807,0.063807
550,1,-0.017,0.984,0.063488,0.063488
551,0,0.985,-0.015,0.063171,0.063171
552,0,0.989,-0.011,0.062855,0.062855
553,1,-0.014,0.987,0.062541,0.062541
554,1,-0.016,0.985,0.062228,0.062228
555,0,0.989,-0.011,0.061917,0.061917
556,0,0.988,-0.012,0.061607,0.061607
557,0,0.99,-0.01,0.061299,0.061299
558,0,0.984,-0.016,0.060993,0.060993
559,1,-0.015,0.986,0.060688,0.060688
560,1,-0.016,0.985,0.060384,0.060384
561,1,-0.009,0.992,0.060083,0.060083
562,0,0.987,-0.013,0.059782,0.059782
563,1,-0.017,0.984,0.059483,0.059483
564,1,-0.016,0.985,0.059186,0.059186
565,1,-0.011,0.99,0.05889,0.05889
566,0,0.984,-0.016,0.058595,0.058595
567,0,0.984,-0.016,0.058302,0.058302
568,1,-0.017,0.984,0.058011,0.058011
569,0,0.984,-0.016,0.057721,0.057721
570,1,-0.015,0.986,0.057432,0.057432
571,1,-0.017,0.984,0.057145,0.057145
572,1,-0.009,0.992,0.056859,0.056859
573,1,-0.016,0.985,0.056575,0.056575
574,1,-0.013,0.988,0.056292,0.056292
575,1,-0.017,0.984,0.056011,0.056011
576,1,-0.008,0.993,0.055731,0.055731
577,1,-0.012,0.989,0.055452,0.055452
578,1,-0.012,0.989,0.055175,0.055175
579,0,0.989,-0.011,0.054899,0.054899
580,1,-0.017,0.984,0.054624,0.054624
581,1,-0.016,0.985,0.054351,0.054351
582,1,-0.017,0.984,0.05408,0.05408
583,0,0.985,-0.015,0.053809,0.053809
584,1,-0.012,0.989,0.05354,0.05354
585,1,-0.014,0.987,0.053272,0.053272
586,1,-0.012,0.989,0.053006,0.053006
587,0,0.985,-0.015,0.052741,0.052741
588,1,-0.009,0.992,0.052477,0.052477
589,0,0.986,-0.014,0.052215,0.052215
590,1,-0.013,0.988,0.051954,0.051954
591,1,-0.016,0.985,0.051694,0.051694
592,1,-0.017,0.984,0.051436,0.051436
593,1,-0.016,0.985,0.051178,0.051178
594,0,0.99,-0.01,0.050923,0.050923
595,1,-0.008,0.993,0.050668,0.050668
596,0,0.986,-0.014,0.050415,0.050415
597,0,0.984,-0.016,0.050163,0.050163
598,1,-0.014,0.987,0.05,0.05
599,1,-0.014,0.987,0.05,0.05
600,0,0.984,-0.016,0.05,0.05
