episode,opponent,learner_won,winner,reward_learner,epsilon
465,frozen,1,0,0.995,0.097215
466,random,1,0,0.986,0.096729
467,random,1,1,0.989,0.096245
468,self,0,1,-0.017,0.095764
469,self,0,1,-0.015,0.095285
470,frozen,0,1,-0.017,0.094809
471,frozen,1,1,0.984,0.094335
472,frozen,0,1,-0.014,0.093863
473,frozen,1,0,0.987,0.093394
474,self,0,0,-0.016,0.092927
475,self,0,1,-0.016,0.092462
476,frozen,1,1,0.994,0.092
477,frozen,0,0,-0.01,0.09154
478,random,0,0,-0.012,0.091082
479,minimax,0,1,-0.011,0.090627
480,minimax,0,0,-0.002,0.090173
481,heuristic,0,1,-0.003,0.089723
482,minimax,0,1,-0.005,0.089274
483,heuristic,0,0,-0.009,0.088828
484,frozen,0,1,-0.008,0.088383
485,frozen,0,0,-0.016,0.087942
486,minimax,0,0,-0.001,0.087502
487,self,0,0,-0.015,0.087064
488,minimax,0,1,-0.003,0.086629
489,minimax,0,0,-0.004,0.086196
490,random,0,1,-0.013,0.085765
491,frozen,0,0,-0.014,0.085336
492,frozen,0,1,-0.004,0.084909
493,minimax,0,0,-0.005,0.084485
494,self,0,0,-0.016,0.084062
495,self,1,0,0.997,0.083642
496,self,1,1,0.988,0.083224
497,heuristic,0,0,-0.007,0.082808
498,heuristic,0,1,-0.008,0.082394
499,self,0,1,-0.013,0.081982
500,frozen,0,0,-0.016,0.081572
501,random,1,1,0.989,0.081164
502,minimax,0,1,-0.01,0.080758
503,heuristic,0,0,-0.004,0.080354
504,frozen,1,0,0.994,0.079953
505,frozen,0,1,-0.016,0.079553
506,minimax,0,0,-0.003,0.079155
507,frozen,1,1,0.99,0.078759
508,heuristic,1,1,0.991,0.078366
509,self,0,0,-0.01,0.077974
510,frozen,0,0,-0.013,0.077584
511,random,0,1,-0.015,0.077196
512,random,0,1,-0.013,0.07681
513,frozen,1,0,0.989,0.076426
514,minimax,0,1,-0.014,0.076044
515,random,1,0,0.988,0.075664
516,frozen,0,1,-0.012,0.075285
517,frozen,1,0,0.993,0.074909
518,heuristic,0,1,-0.004,0.074534
519,random,0,1,-0.013,0.074162
520,frozen,0,0,-0.016,0.073791
521,heuristic,0,1,-0.003,0.073422
522,self,0,0,-0.015,0.073055
523,frozen,0,1,-0.016,0.072689
524,frozen,1,1,0.989,0.072326
525,minimax,0,1,-0.006,0.071964
526,random,1,1,0.988,0.071605
527,minimax,0,0,-0.007,0.071247
528,random,1,0,0.99,0.07089
529,frozen,1,0,0.985,0.070536
530,self,1,1,0.991,0.070183
531,self,0,0,-0.011,0.069832
532,random,0,1,-0.012,0.069483
533,random,0,0,-0.009,0.069136
534,random,1,0,0.987,0.06879
535,self,1,0,0.985,0.068446
536,minimax,0,1,-0.003,0.068104
537,heuristic,0,1,-0.003,0.067763
538,frozen,0,1,-0.014,0.067424
539,frozen,1,1,0.99,0.067087
540,self,1,0,0.985,0.066752
541,minimax,0,1,-0.014,0.066418
542,random,1,1,0.989,0.066086
543,frozen,0,1,-0.013,0.065756
544,frozen,1,1,0.988,0.065427
545,random,0,0,-0.009,0.0651
546,minimax,0,0,-0.011,0.064774
547,heuristic,0,1,-0.005,0.06445
548,frozen,1,1,0.989,0.064128
549,frozen,0,0,-0.007,0.063807
550,heuristic,0,1,-0.005,0.063488
551,frozen,0,0,-0.016,0.063171
552,self,0,0,-0.005,0.062855
553,frozen,1,1,0.987,0.062541
554,heuristic,0,0,-0.008,0.062228
555,heuristic,0,1,-0.011,0.061917
556,frozen,0,1,-0.015,0.061607
557,frozen,0,1,-0.015,0.061299
558,frozen,0,0,-0.013,0.060993
559,minimax,0,0,-0.003,0.060688
560,heuristic,0,0,-0.004,0.060384
561,frozen,0,1,-0.017,0.060083
562,frozen,0,0,-0.015,0.059782
563,heuristic,0,1,-0.004,0.059483
564,random,1,0,0.988,0.059186
565,heuristic,0,1,-0.009,0.05889
566,self,1,0,0.985,0.058595
567,heuristic,0,0,-0.003,0.058302
568,heuristic,1,0,0.997,0.058011
569,heuristic,0,1,-0.007,0.057721
570,minimax,0,0,-0.003,0.057432
571,self,0,0,-0.005,0.057145
572,frozen,1,1,0.987,0.056859
573,random,0,1,-0.009,0.056575
574,heuristic,0,0,-0.008,0.056292
575,random,0,1,-0.013,0.056011
576,heuristic,1,1,0.995,0.055731
577,frozen,1,1,0.997,0.055452
578,minimax,0,1,-0.005,0.055175
579,minimax,0,0,-0.005,0.054899
580,frozen,1,0,0.985,0.054624
581,random,1,0,0.991,0.054351
582,frozen,0,1,-0.016,0.05408
583,self,1,1,0.985,0.053809
584,minimax,0,0,-0.003,0.05354
585,minimax,0,0,-0.003,0.053272
586,minimax,0,0,-0.002,0.053006
587,self,0,1,-0.012,0.052741
588,self,0,0,-0.016,0.052477
589,frozen,0,1,-0.009,0.052215
590,frozen,0,1,-0.016,0.051954
591,frozen,0,0,-0.012,0.051694
592,random,1,0,0.99,0.051436
593,self,1,0,0.986,0.051178
594,frozen,0,1,-0.016,0.050923
595,heuristic,0,1,-0.003,0.050668
596,random,1,0,0.986,0.050415
597,random,0,0,-0.011,0.050163
598,minimax,0,0,-0.003,0.05
599,heuristic,0,1,-0.003,0.05
600,self,1,0,0.984,0.05
601,minimax,0,0,-0.003,0.05
602,random,1,1,0.987,0.05
603,random,0,1,-0.014,0.05
604,minimax,0,0,-0.004,0.05
605,frozen,0,0,-0.009,0.05
606,minimax,0,1,-0.007,0.05
607,random,0,1,-0.013,0.05
608,minimax,0,0,-0.005,0.05
609,self,0,1,-0.013,0.05
610,self,1,1,0.985,0.05
611,minimax,0,0,-0.006,0.05
612,minimax,0,0,-0.003,0.05
613,frozen,1,0,0.987,0.05
